order_id,warehouse,destination,distance_km,vehicle_type,package_weight_kg,traffic_level,weather,number_of_stops,expected_time_hr,delivery_time_hr,transport_cost,delivery_delay_hr,delivery_status
10149,Delhi,Jodhpur,236.7,Mini Truck,15.3,Medium,Clear,4,5.98,7.15,3349.06,1.17,Delayed
10150,Udaipur,Kota,43.8,Truck,15.5,Low,Hot,5,1.92,2.21,859.84,0.29,On Time
10151,Jaipur,Jodhpur,268.1,Truck,31.4,Medium,Cloudy,5,7.13,7.25,4624.22,0.12,On Time
10152,Jaipur,Kota,303.7,Truck,37.5,Medium,Clear,3,7.6,8.0,5285.74,0.4,On Time
10153,Jaipur,Jodhpur,110.5,Truck,13.6,Medium,Cloudy,8,4.01,5.4,2066.22,1.39,Delayed
10154,Jaipur,Delhi,157.0,Van,9.0,Low,Clear,7,4.53,4.11,2013.62,-0.42,On Time
10155,Ahmedabad,Bhilwara,222.4,Truck,11.7,Medium,Clear,6,6.25,7.35,3896.63,1.1,Delayed
10156,Jaipur,Ajmer,168.6,Truck,8.8,Medium,Clear,6,5.0,5.75,2990.19,0.75,On Time
10157,Udaipur,Jodhpur,183.8,Mini Truck,7.0,High,Rain,3,4.62,6.84,2513.45,2.22,Delayed
10158,Kota,Delhi,269.4,Mini Truck,6.3,High,Clear,8,7.43,10.06,3900.2,2.63,Delayed
10159,Jaipur,Kota,162.5,Van,12.1,Medium,Cloudy,5,4.29,4.51,1977.82,0.22,On Time
10160,Ahmedabad,Kota,94.8,Mini Truck,22.4,Medium,Clear,2,2.47,2.84,1362.66,0.37,On Time
10161,Ahmedabad,Ajmer,363.9,Truck,16.6,Low,Clear,4,9.18,9.17,6222.88,-0.01,On Time
10162,Jaipur,Udaipur,127.5,Mini Truck,20.1,Low,Hot,4,3.55,4.94,1804.56,1.39,Delayed
10163,Kota,Jodhpur,205.5,Van,18.1,Low,Cloudy,2,4.64,4.73,2440.58,0.09,On Time
10164,Jaipur,Jaipur,174.1,Mini Truck,4.1,Medium,Hot,2,4.23,5.35,2407.48,1.12,Delayed
10165,Ahmedabad,Kota,118.1,Mini Truck,11.0,Low,Clear,8,4.06,3.91,1801.24,-0.15,On Time
10166,Delhi,Bhilwara,358.1,Van,15.5,Low,Clear,5,8.36,8.52,4223.71,0.16,On Time
10167,Udaipur,Bhilwara,338.6,Van,14.3,High,Rain,3,7.59,9.77,4043.62,2.18,Delayed
10168,Ahmedabad,Kota,185.8,Truck,10.0,Low,Cloudy,2,4.68,5.09,3203.37,0.41,On Time
10169,Jaipur,Udaipur,228.1,Mini Truck,16.9,Low,Clear,3,5.61,5.96,3189.88,0.35,On Time
10170,Udaipur,Udaipur,243.6,Truck,31.3,Low,Clear,8,7.11,7.0,4323.25,-0.11,On Time
10171,Jaipur,Delhi,121.9,Mini Truck,21.2,Medium,Rain,7,3.97,4.96,1898.15,0.99,Delayed
10172,Jaipur,Bhilwara,131.3,Mini Truck,27.7,Medium,Clear,1,3.1,3.84,1871.71,0.74,On Time
10173,Delhi,Delhi,226.2,Truck,33.6,Medium,Cloudy,4,5.98,7.41,3925.38,1.43,Delayed
10174,Udaipur,Bhilwara,116.6,Mini Truck,26.4,Medium,Clear,5,3.49,3.82,1762.02,0.33,On Time
10175,Udaipur,Jodhpur,225.1,Mini Truck,31.7,Medium,Clear,4,5.72,6.57,3198.62,0.85,Delayed
10176,Delhi,Jodhpur,59.8,Mini Truck,3.2,High,Hot,5,2.23,3.49,909.17,1.26,Delayed
10177,Ahmedabad,Jaipur,180.3,Van,17.4,High,Clear,8,5.2,6.23,2298.45,1.03,Delayed
10178,Jaipur,Jodhpur,267.0,Truck,7.8,High,Clear,1,6.39,8.48,4563.25,2.09,Delayed
10179,Kota,Jaipur,256.5,Van,22.8,Medium,Rain,4,6.06,7.87,3176.11,1.81,Delayed
10180,Jaipur,Jodhpur,405.1,Truck,25.0,Low,Clear,1,9.6,9.76,6935.37,0.16,On Time
10181,Jaipur,Ajmer,121.7,Truck,7.9,Low,Clear,8,4.27,3.23,2237.01,-1.04,On Time
10182,Ahmedabad,Jodhpur,219.4,Mini Truck,26.0,Low,Cloudy,5,5.78,5.63,3246.22,-0.15,On Time
10183,Jaipur,Delhi,365.4,Truck,15.0,Medium,Clear,2,8.86,9.83,6238.26,0.97,Delayed
10184,Delhi,Kota,265.8,Van,15.4,High,Clear,7,6.8,7.65,3226.66,0.85,Delayed
10185,Delhi,Delhi,344.8,Van,26.0,Medium,Clear,4,7.9,8.44,4136.15,0.54,On Time
10186,Udaipur,Kota,116.7,Van,8.6,Low,Cloudy,1,2.61,3.05,1367.53,0.44,On Time
10187,Kota,Udaipur,237.8,Truck,25.9,Medium,Cloudy,6,6.61,6.73,4145.52,0.12,On Time
10188,Jaipur,Delhi,203.2,Van,8.7,High,Cloudy,4,4.95,5.79,2414.74,0.84,Delayed
10189,Jaipur,Udaipur,241.2,Truck,14.9,Medium,Clear,4,6.33,6.36,4170.77,0.03,On Time
10190,Ahmedabad,Jaipur,146.9,Van,8.6,High,Cloudy,4,3.78,5.53,1831.73,1.75,Delayed
10191,Delhi,Jaipur,435.0,Van,18.2,High,Hot,3,9.6,11.15,5171.32,1.55,Delayed
10192,Kota,Ajmer,325.4,Truck,17.8,High,Clear,1,7.75,9.65,5487.87,1.9,Delayed
10193,Udaipur,Jodhpur,408.0,Van,16.3,Medium,Cloudy,1,8.68,9.53,4762.91,0.85,Delayed
10194,Delhi,Delhi,266.6,Mini Truck,11.1,Medium,Cloudy,4,6.64,8.29,3770.76,1.65,Delayed
10195,Udaipur,Udaipur,155.2,Truck,24.2,Low,Rain,8,5.05,5.29,2846.76,0.24,On Time
10196,Ahmedabad,Kota,314.0,Truck,3.4,Low,Hot,8,8.74,9.19,5483.67,0.45,On Time
10197,Ahmedabad,Jaipur,437.4,Truck,13.5,Medium,Clear,2,10.53,10.87,7409.51,0.34,On Time
10198,Jaipur,Jodhpur,266.5,Mini Truck,28.4,Low,Clear,4,6.64,6.91,3838.44,0.27,On Time
10199,Kota,Jaipur,136.7,Truck,32.2,High,Clear,3,3.72,5.27,2439.69,1.55,Delayed
10200,Udaipur,Kota,166.7,Van,17.2,Low,Clear,5,4.37,3.92,2103.19,-0.45,On Time
10201,Delhi,Jodhpur,234.8,Van,17.2,High,Clear,3,5.43,6.86,2805.89,1.43,Delayed
10202,Ahmedabad,Jodhpur,466.5,Van,6.8,Medium,Rain,8,11.16,12.69,5582.44,1.53,Delayed
10203,Jaipur,Udaipur,541.2,Truck,8.1,Low,Clear,2,12.95,12.68,9099.74,-0.27,On Time
10204,Jaipur,Udaipur,142.6,Van,3.0,High,Clear,8,4.41,6.24,1800.94,1.83,Delayed
10205,Udaipur,Delhi,277.3,Truck,19.0,Medium,Cloudy,8,7.89,8.23,4872.98,0.34,On Time
10206,Ahmedabad,Delhi,165.6,Van,43.1,Medium,Clear,8,4.89,6.53,2195.62,1.64,Delayed
10207,Kota,Bhilwara,110.5,Mini Truck,31.9,Low,Hot,4,3.18,3.91,1766.73,0.73,On Time
10208,Ahmedabad,Bhilwara,309.7,Mini Truck,6.3,Medium,Rain,8,8.32,9.98,4405.16,1.66,Delayed
10209,Udaipur,Ajmer,248.6,Mini Truck,7.6,Low,Clear,1,5.7,6.98,3385.45,1.28,Delayed
10210,Udaipur,Jaipur,256.9,Mini Truck,29.6,Medium,Clear,7,6.97,7.53,3791.31,0.56,On Time
10211,Ahmedabad,Delhi,210.5,Truck,14.9,Medium,Clear,6,5.98,6.96,3741.92,0.98,Delayed
10212,Udaipur,Udaipur,269.6,Van,5.8,Medium,Cloudy,4,6.34,7.24,3175.32,0.9,Delayed
10213,Ahmedabad,Kota,264.4,Mini Truck,8.8,Medium,Clear,2,6.24,7.3,3690.46,1.06,Delayed
10214,Delhi,Udaipur,351.1,Truck,1.5,Medium,Cloudy,1,8.35,9.82,5953.31,1.47,Delayed
10215,Ahmedabad,Jaipur,146.0,Mini Truck,16.0,Low,Rain,3,3.78,4.83,2103.03,1.05,Delayed
10216,Ahmedabad,Bhilwara,359.8,Mini Truck,34.4,High,Clear,8,9.44,11.41,5181.23,1.97,Delayed
10217,Udaipur,Udaipur,334.1,Truck,16.5,Low,Rain,5,8.67,9.22,5740.35,0.55,On Time
10218,Udaipur,Ajmer,272.7,Truck,18.7,Medium,Clear,5,7.24,7.85,4753.87,0.61,On Time
10219,Jaipur,Jaipur,233.7,Van,53.6,Medium,Hot,7,6.13,7.87,2964.68,1.74,Delayed
10220,Jaipur,Bhilwara,218.7,Van,5.9,High,Clear,4,5.28,7.05,2535.56,1.77,Delayed
10221,Delhi,Kota,219.7,Mini Truck,34.3,Medium,Cloudy,3,5.42,6.33,3154.09,0.91,Delayed
10222,Jaipur,Bhilwara,233.8,Mini Truck,13.8,Medium,Clear,7,6.46,6.82,3319.83,0.36,On Time
10223,Ahmedabad,Jodhpur,97.3,Van,8.8,Medium,Rain,6,3.11,5.04,1312.41,1.93,Delayed
10224,Udaipur,Ajmer,600.0,Van,20.0,Medium,Clear,6,13.58,13.93,7070.42,0.35,On Time
10225,Jaipur,Jaipur,392.7,Truck,10.1,Low,Clear,7,10.39,9.91,6689.74,-0.48,On Time
10226,Jaipur,Kota,544.0,Van,10.7,Medium,Cloudy,2,11.69,12.54,6290.95,0.85,Delayed
10227,Delhi,Ajmer,316.5,Van,28.1,Medium,Clear,5,7.49,7.11,3831.56,-0.38,On Time
10228,Delhi,Bhilwara,163.0,Mini Truck,30.8,High,Cloudy,3,4.16,6.03,2371.4,1.87,Delayed
10229,Ahmedabad,Ajmer,294.5,Van,16.3,Medium,Rain,4,6.86,8.53,3479.15,1.67,Delayed
10230,Udaipur,Jaipur,349.6,Mini Truck,47.4,Medium,Clear,8,9.21,9.75,5024.27,0.54,On Time
10231,Delhi,Delhi,136.6,Van,11.7,Low,Clear,1,3.03,2.91,1627.53,-0.12,On Time
10232,Jaipur,Ajmer,432.9,Truck,58.7,High,Clear,4,10.79,12.24,7535.63,1.45,Delayed
10233,Udaipur,Jodhpur,182.6,Van,37.7,High,Cloudy,4,4.52,5.76,2245.16,1.24,Delayed
10234,Udaipur,Ajmer,331.8,Van,36.7,Low,Clear,3,7.45,7.53,3999.64,0.08,On Time
